fecha,ubicacion,temperatura,presion,humedad
2020-11-02 19:04:03.053867+00:00,SAM,32,993,95
2020-11-02 19:08:26.822480+00:00,SAM,-9,978,32
2020-11-02 19:12:31.171699+00:00,SAM,39,913,61
2020-11-02 19:14:47.950571+00:00,GD,20,955,91
2020-11-02 19:15:50.476900+00:00,RC,48,883,63
2020-11-02 19:17:08.580735+00:00,GD,0,917,8
2020-11-02 19:18:40.171960+00:00,GD,4,1044,93
2020-11-02 19:20:05.076961+00:00,RC,12,920,13
2020-11-02 19:21:21.127938+00:00,RC,-4,1045,86
2020-11-02 19:22:33.775075+00:00,GD,14,1064,64
2020-11-02 19:24:04.979764+00:00,RC,35,969,52
2020-11-02 19:25:23.720651+00:00,GD,12,907,44
2020-11-02 19:26:41.401846+00:00,SAM,39,924,18
2020-11-02 19:27:50.949588+00:00,RC,42,898,75
2020-11-02 19:29:00.428517+00:00,GD,8,938,98
2020-11-02 19:30:02.520926+00:00,SAM,3,930,7
2020-11-02 19:30:55.214977+00:00,SAM,39,939,84
2020-11-02 19:31:46.349930+00:00,GD,30,919,88
2020-11-02 19:32:34.441697+00:00,RC,24,1077,11
2020-11-02 19:33:29.379569+00:00,SAM,37,881,54
